21/Oct/2024:16:00:28 +0530  - - [21/Oct/2024:16:00:28 +0530] "Server started at Mon Oct 21 16:00:28 IST 2024 %U HTTP/1.1" %s %b
21/Oct/2024:16:00:30 +0530  - - [21/Oct/2024:16:00:30 +0530] "127.0.0.1 - - [Mon Oct 21 16:00:30 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:31 +0530  - - [21/Oct/2024:16:00:31 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:31 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:31 +0530  - - [21/Oct/2024:16:00:31 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:31 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:31 +0530  - - [21/Oct/2024:16:00:31 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:31 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:31 +0530  - - [21/Oct/2024:16:00:31 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:31 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:44 +0530  - - [21/Oct/2024:16:00:44 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:44 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:44 +0530  - - [21/Oct/2024:16:00:44 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
21/Oct/2024:16:00:44 +0530  - - [21/Oct/2024:16:00:44 +0530] "User Id 24 in session c14d5b8a-2500-4d8e-b21b-3c28e3908944: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:44 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:44 +0530  - - [21/Oct/2024:16:00:44 +0530] "User Id 24 in session c14d5b8a-2500-4d8e-b21b-3c28e3908944: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:44 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:47 +0530  - - [21/Oct/2024:16:00:47 +0530] "User Id 24 in session c14d5b8a-2500-4d8e-b21b-3c28e3908944: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:47 IST 2024] "GET /contacts.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:00:49 +0530  - - [21/Oct/2024:16:00:49 +0530] "User Id 24 in session c14d5b8a-2500-4d8e-b21b-3c28e3908944: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:00:49 IST 2024] "GET /category.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:03:59 +0530  - - [21/Oct/2024:16:03:59 +0530] "User Id 24 in session c14d5b8a-2500-4d8e-b21b-3c28e3908944: 0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:03:59 IST 2024] "GET /logout HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:03:59 +0530  - - [21/Oct/2024:16:03:59 +0530] "0:0:0:0:0:0:0:1 - - [Mon Oct 21 16:03:59 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
21/Oct/2024:16:23:19 +0530  - - [21/Oct/2024:16:23:19 +0530] "Server stoped at Mon Oct 21 16:23:19 IST 2024 %U HTTP/1.1" %s %b
