23/Oct/2024:12:18:43 +0530  - - [23/Oct/2024:12:18:43 +0530] "Server started at Wed Oct 23 12:18:43 IST 2024 %U HTTP/1.1" %s %b
23/Oct/2024:12:18:46 +0530  - - [23/Oct/2024:12:18:46 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:46 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:18:47 +0530  - - [23/Oct/2024:12:18:47 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:47 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:18:48 +0530  - - [23/Oct/2024:12:18:48 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:48 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:18:49 +0530  - - [23/Oct/2024:12:18:49 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:49 IST 2024] "GET /EditDetails.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:18:55 +0530  - - [23/Oct/2024:12:18:55 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:55 IST 2024] "POST /update HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:18:55 +0530  - - [23/Oct/2024:12:18:55 +0530] " 24 417c543b-bc50-4134-b272-fd7e7daa24cf: 0:0:0:0:0:0:0:1 - - [Wed Oct 23 12:18:55 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:13 +0530  - - [23/Oct/2024:12:26:13 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:13 IST 2024] "HEAD / HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:13 +0530  - - [23/Oct/2024:12:26:13 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:13 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD / HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /docs HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /examples HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /manager HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /host-manager HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD / HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:14 +0530  - - [23/Oct/2024:12:26:14 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:14 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:15 +0530  - - [23/Oct/2024:12:26:15 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:15 IST 2024] "HEAD / HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:26:15 +0530  - - [23/Oct/2024:12:26:15 +0530] "127.0.0.1 - - [Wed Oct 23 12:26:15 IST 2024] "HEAD /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
23/Oct/2024:12:34:03 +0530  - - [23/Oct/2024:12:34:03 +0530] "Server stoped at Wed Oct 23 12:34:03 IST 2024 %U HTTP/1.1" %s %b
