24/Oct/2024:07:58:28 +0530  - - [24/Oct/2024:07:58:28 +0530] "Server started at Thu Oct 24 07:58:28 IST 2024 %U HTTP/1.1" %s %b
24/Oct/2024:07:58:29 +0530  - - [24/Oct/2024:07:58:29 +0530] "127.0.0.1 - - [Thu Oct 24 07:58:29 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:58:29 +0530  - - [24/Oct/2024:07:58:29 +0530] "0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:58:29 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:58:29 +0530  - - [24/Oct/2024:07:58:29 +0530] "0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:58:29 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:58:59 +0530  - - [24/Oct/2024:07:58:59 +0530] "0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:58:59 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:58:59 +0530  - - [24/Oct/2024:07:58:59 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
24/Oct/2024:07:58:59 +0530  - - [24/Oct/2024:07:58:59 +0530] " 24 92749361-f4a7-458a-98cf-e9ffdcd81c04: 0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:58:59 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:59:04 +0530  - - [24/Oct/2024:07:59:04 +0530] " 24 92749361-f4a7-458a-98cf-e9ffdcd81c04: 0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:59:04 IST 2024] "GET /EditDetails.jsp HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:59:21 +0530  - - [24/Oct/2024:07:59:21 +0530] " 24 92749361-f4a7-458a-98cf-e9ffdcd81c04: 0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:59:21 IST 2024] "POST /update HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:07:59:21 +0530  - - [24/Oct/2024:07:59:21 +0530] " 24 92749361-f4a7-458a-98cf-e9ffdcd81c04: 0:0:0:0:0:0:0:1 - - [Thu Oct 24 07:59:21 IST 2024] "GET /EditDetails.jsp HTTP/1.1" %U HTTP/1.1" %s %b
24/Oct/2024:08:00:06 +0530  - - [24/Oct/2024:08:00:06 +0530] "Server stoped at Thu Oct 24 08:00:06 IST 2024 %U HTTP/1.1" %s %b
