22/Nov/2024:20:27:21 +0530  - - [22/Nov/2024:20:27:21 +0530] "Server started at Fri Nov 22 20:27:21 IST 2024 %U HTTP/1.1" %s %b
22/Nov/2024:20:27:22 +0530  - - [22/Nov/2024:20:27:22 +0530] "127.0.0.1 - - [Fri Nov 22 20:27:22 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:27:26 +0530  - - [22/Nov/2024:20:27:26 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:27:26 IST 2024] "GET /register.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:27:26 +0530  - - [22/Nov/2024:20:27:26 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:27:26 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:27:26 +0530  - - [22/Nov/2024:20:27:26 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:27:26 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:32:45 +0530  - - [22/Nov/2024:20:32:45 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:32:45 IST 2024] "POST /register HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:32:46 +0530  - - [22/Nov/2024:20:32:46 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:32:46 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:32:46 +0530  - - [22/Nov/2024:20:32:46 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:32:46 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:32:46 +0530  - - [22/Nov/2024:20:32:46 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:32:46 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:33:00 +0530  - - [22/Nov/2024:20:33:00 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:33:00 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:33:00 +0530  - - [22/Nov/2024:20:33:00 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:33:00 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:33:00 +0530  - - [22/Nov/2024:20:33:00 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:33:00 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:33:00 +0530  - - [22/Nov/2024:20:33:00 +0530] "0:0:0:0:0:0:0:1 - - [Fri Nov 22 20:33:00 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
22/Nov/2024:20:34:45 +0530  - - [22/Nov/2024:20:34:45 +0530] "Server stoped at Fri Nov 22 20:34:45 IST 2024 %U HTTP/1.1" %s %b
