25/Nov/2024:14:54:27 +0530  - - [25/Nov/2024:14:54:27 +0530] "Server started at Mon Nov 25 14:54:27 IST 2024 %U HTTP/1.1" %s %b
25/Nov/2024:14:54:28 +0530  - - [25/Nov/2024:14:54:28 +0530] "127.0.0.1 - - [Mon Nov 25 14:54:28 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:29 +0530  - - [25/Nov/2024:14:54:29 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:29 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:29 +0530  - - [25/Nov/2024:14:54:29 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:29 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:29 +0530  - - [25/Nov/2024:14:54:29 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:29 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:29 +0530  - - [25/Nov/2024:14:54:29 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:29 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:39 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:39 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:39 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:39 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:54:39 +0530  - - [25/Nov/2024:14:54:39 +0530] "0:0:0:0:0:0:0:1 - - [Mon Nov 25 14:54:39 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
25/Nov/2024:14:55:16 +0530  - - [25/Nov/2024:14:55:16 +0530] "Server stoped at Mon Nov 25 14:55:16 IST 2024 %U HTTP/1.1" %s %b
