27/Nov/2024:12:41:30 +0530  - - [27/Nov/2024:12:41:30 +0530] "Server started at Wed Nov 27 12:41:30 IST 2024 %U HTTP/1.1" %s %b
27/Nov/2024:12:41:31 +0530  - - [27/Nov/2024:12:41:31 +0530] "127.0.0.1 - - [Wed Nov 27 12:41:31 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:35 +0530  - - [27/Nov/2024:12:41:35 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:35 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:35 +0530  - - [27/Nov/2024:12:41:35 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:35 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:35 +0530  - - [27/Nov/2024:12:41:35 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:35 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:35 +0530  - - [27/Nov/2024:12:41:35 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:35 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:48 +0530  - - [27/Nov/2024:12:41:48 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:48 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:49 +0530  - - [27/Nov/2024:12:41:49 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:49 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:49 +0530  - - [27/Nov/2024:12:41:49 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:49 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:41:49 +0530  - - [27/Nov/2024:12:41:49 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:41:49 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:42:19 +0530  - - [27/Nov/2024:12:42:19 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:42:19 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:42:19 +0530  - - [27/Nov/2024:12:42:19 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:42:19 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
27/Nov/2024:12:42:19 +0530  - - [27/Nov/2024:12:42:19 +0530] "0:0:0:0:0:0:0:1 - - [Wed Nov 27 12:42:19 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
