30/Nov/2024:15:39:31 +0530  - - [30/Nov/2024:15:39:31 +0530] "Server started at Sat Nov 30 15:39:31 IST 2024 %U HTTP/1.1" %s %b
30/Nov/2024:15:39:32 +0530  - - [30/Nov/2024:15:39:32 +0530] "127.0.0.1 - - [Sat Nov 30 15:39:32 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:32 +0530  - - [30/Nov/2024:15:39:32 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:32 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:32 +0530  - - [30/Nov/2024:15:39:32 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:32 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:32 +0530  - - [30/Nov/2024:15:39:32 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:32 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:32 +0530  - - [30/Nov/2024:15:39:32 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:32 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:40 +0530  - - [30/Nov/2024:15:39:40 +0530] "0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:40 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:41 +0530  - - [30/Nov/2024:15:39:41 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
30/Nov/2024:15:39:41 +0530  - - [30/Nov/2024:15:39:41 +0530] " 24 d6bc2fde-9a75-4a78-86a4-825bde7bb7a9: 0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:41 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:39:41 +0530  - - [30/Nov/2024:15:39:41 +0530] " 24 d6bc2fde-9a75-4a78-86a4-825bde7bb7a9: 0:0:0:0:0:0:0:1 - - [Sat Nov 30 15:39:41 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
30/Nov/2024:15:45:35 +0530  - - [30/Nov/2024:15:45:35 +0530] "Server stoped at Sat Nov 30 15:45:35 IST 2024 %U HTTP/1.1" %s %b
