05/Dec/2024:18:46:14 +0530  - - [05/Dec/2024:18:46:14 +0530] "Server started at Thu Dec 05 18:46:14 IST 2024 %U HTTP/1.1" %s %b
05/Dec/2024:18:46:15 +0530  - - [05/Dec/2024:18:46:15 +0530] "127.0.0.1 - - [Thu Dec 05 18:46:15 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:15 +0530  - - [05/Dec/2024:18:46:15 +0530] "0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:15 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:15 +0530  - - [05/Dec/2024:18:46:15 +0530] "0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:15 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:15 +0530  - - [05/Dec/2024:18:46:15 +0530] "0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:15 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:16 +0530  - - [05/Dec/2024:18:46:16 +0530] "0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:16 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:23 +0530  - - [05/Dec/2024:18:46:23 +0530] "0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:23 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:23 +0530  - - [05/Dec/2024:18:46:23 +0530] "User logged in: user_id=24 %U HTTP/1.1" %s %b
05/Dec/2024:18:46:23 +0530  - - [05/Dec/2024:18:46:23 +0530] " 24 82bc780e-0e50-4433-a681-9636fcf3dca1: 0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:23 IST 2024] "GET /home.jsp HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:46:23 +0530  - - [05/Dec/2024:18:46:23 +0530] " 24 82bc780e-0e50-4433-a681-9636fcf3dca1: 0:0:0:0:0:0:0:1 - - [Thu Dec 05 18:46:23 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
05/Dec/2024:18:47:14 +0530  - - [05/Dec/2024:18:47:14 +0530] "Server stoped at Thu Dec 05 18:47:14 IST 2024 %U HTTP/1.1" %s %b
