09/Dec/2024:21:54:19 +0530  - - [09/Dec/2024:21:54:19 +0530] "Server started at Mon Dec 09 21:54:19 IST 2024 %U HTTP/1.1" %s %b
09/Dec/2024:21:54:20 +0530  - - [09/Dec/2024:21:54:20 +0530] "127.0.0.1 - - [Mon Dec 09 21:54:20 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:21 +0530  - - [09/Dec/2024:21:54:21 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:21 IST 2024] "GET / HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:21 +0530  - - [09/Dec/2024:21:54:21 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:21 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:21 +0530  - - [09/Dec/2024:21:54:21 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:21 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:21 +0530  - - [09/Dec/2024:21:54:21 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:21 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:30 +0530  - - [09/Dec/2024:21:54:30 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:30 IST 2024] "POST /login HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:30 +0530  - - [09/Dec/2024:21:54:30 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:30 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:30 +0530  - - [09/Dec/2024:21:54:30 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:30 IST 2024] "GET /favicon.ico HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:54:30 +0530  - - [09/Dec/2024:21:54:30 +0530] "0:0:0:0:0:0:0:1 - - [Mon Dec 09 21:54:30 IST 2024] "GET /login.jsp HTTP/1.1" %U HTTP/1.1" %s %b
09/Dec/2024:21:55:00 +0530  - - [09/Dec/2024:21:55:00 +0530] "Server stoped at Mon Dec 09 21:55:00 IST 2024 %U HTTP/1.1" %s %b
